Course Code,Course Name,Difficulty Estimate
MAT187,Calculus II,75
MIE100,Dynamics,80
LIN101,Introduction to Linguistics: Sound Structure,50
ENG140,Literature for our Time,40
HPS100,Introduction to History and Philosophy of Science and Technology,50
STA261,Probability and Statistics II,70
JWE206,Writing English Essays,40
GER150,Introduction to German Culture (E),40
BCH210,Biochemistry I: Proteins,85
BIO230,From Genes to Organism,70
BMS100,Introduction to Book & Media Studies,35
HMB265,General & Human Genetics,75
PSL300,Human Physiology I,80
BMS201,Information Literacy,40
HMB204,Introduction to Human Biology,50
PSL301,Human Physiology II,80
PSY201,Statistics I,60
HIS314,Twentieth-Century Quebec,50
MAT390,History of Mathematics up to 1700,60
HIS264,Critical Issues in Canadian History,45
HIS271,American History Since 1607,50
HIS349,History of Britain: Struggle for Power,55
HMB203,Introduction to Global Health,50
ENG150,Literary Traditions,45
AST251,Life on Other Worlds,50
FSL220,Intermediate French I,60
STA255,Statistical Theory,75
NFS302,Nutrition,60
HMB322,Topics in Health & Disease,75
HMB342,Epidemiology of Health & Disease,75
MGY277,Introduction to Medical Microbiology,75
NFS301,Nutrition Literacy: Sorting Science from Snake Oil,55
CSC108,Introduction to Computer Programming,60
STA256,Probability and Statistics I,70
MAT136,Integral Calculus,65
LIN204,English Grammar,50
GGR252,Marketing Geography,45
CSC148,Introduction to Computer Science,70
STA130,An Introduction to Statistical Reasoning and Data Science,60
CSC207,Software Design,75
ECO200,Principles of Macroeconomics,55
STA257,Probability and Statistics I,70
CSC367,Parallel Programming,85
MGY377,Microbiology I: Bacteria,75
CSB331,Advanced Cell Biology,80
CSB472,Foundational Discoveries in Genome Biology and Bioinformatics,85
CSB457,Post-transcriptional Gene Regulation,85
CSB327,Extracellular Matrix Dynamics and Associated Pathologies,80
CSB349,Eukaryotic Gene Expression,80
BCH440,Protein Homeostasis,85
BCH428,Genomics of Microbial Communities in Human Health and Beyond,85
BCH448,Structure and Function of the Nucleus,85
HIS198,"Decolonizing Womens History",50
POL195,First-Year Foundation Seminar: Settler Colonialism and Enduring Indigeneity,50
SDS255,Histories of Sexuality,45
VIC114,Renaissance in Popular Culture,40
CLA210,Greek and Roman Archaeology,50
HIS108,What is History,45
MAT198,Cryptology: The Mathematics of Secrecy and Security,75
NEW198,Myths of French Sensuality,40
RLG107,"Its the End of the World as We Know It",45
FAH230,Renaissance Art and Architecture,50
HIS243,Early Modern Europe 15th-17th Centuries,50
MST201,Getting Medieval: Myths and Monsters,50
HIS222,African American History from 1865 to the Present,50
HIS242,Europe in the 20th Century,55
HIS346,Rice Sugar and Spice in Southeast Asia: A Hisotry of Food in the Region,45
ITA332,Love in the Renaissance,50
CIN105,Introduction to Film Study,40
SOC100,Introduction to Sociology I: Social Perspectives,45
ECE212,Circuit Analysis,80
ECE241,Digital Systems,80
ECE244,Programming Fundamentals,75
MAT290,Advanced Engineering Mathematics,85
MAT291,Introduction to Mathematical Physics,85
CIV300,Terrestrial Energy Systems,75
ECE302,Probability and Applications,80
ECE344,Operating Systems,85
ECE345,Algorithms and Data Structures,85
ECE361,Computer Networks,85
APS360,Applied Fundamentals of Deep Learning,85
CSC343,Introduction to Databases,80
ECE311,Introduction to Control Systems,80
ECE342,Computer Hardware,85
TEP343,Engineering Leadership,60
ANT253,Language & Society,50
CIN240,Special Topics in Cinema Studies,50
RSM219,Introduction to Financial Accounting,65
RSM222,Management Accounting I,65
RSM225,Legal Environment of Business I,60
RSM270,Operations Management,70
RSM332,Capital Market Theory,75
ECO220,Introduction to Data Analysis and Applied Econometrics,75
ECO204,Microeconomic Theory and Applications (for Commerce),70
ECO101,Principles of Microeconomics,50
HPS110,The Science of Human Nature,45
BIO130,Molecular and Cell Biology,70
TRN135,Science and Social Choice,50
TRN136,Canadian Health Policy in the Global Context,55
RSM221,Intermediate Financial Accounting II,75
PSY100,Introductory Psychology,45
RSM260,Organizational Behaviour,50
IMM250,The Immune System and Infectious Disease,70
PHL281,Bioethics,50
PSL301,Human Physiology II,80
SDS279,Queer Popular Culture,45
AST201,Stars and Galaxies,50
ECO320,Economic Analysis of Law,70
NFS284,Basic Human Nutrition,45
RSM320,Intermediate Financial Accounting III,75
RSM324,Canadian Income Taxation I,75
RSM321,Advanced Financial Accounting Topics,75
RSM323,Auditing I,70
RSM333,Corporate Finance,75
NMC101,Land of the Pharaohs,45
PCL200,Drugs & the Brain,60
RSM326,Data Analytics with Financial Accounting Information,70
RSM392,Strategic Management,65
RSM420,Advanced IT Audit and Data Analytics,75
RSM422,Management Control,65
RSM424,Canadian Income Taxation II,75
RSM426,Critical Thinking Analysis and Decision Making,65
